Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
,,143369,12893,38140,26725,221127,,,51976,6206,58182,,,,8,Prakasam,18738,202389,10983,139986,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48537,44546,22447,66356,181886,,,49627,9530,59157,,,,9,Khammam,16917,164969,11884,105226,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58378,30103,29158,32876,150515,,,35086,4144,39230,,,,10,Adilabad,12790,137725,13067,89853,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,72443,15561,18917,24741,131662,,,95973,3066,99039,,,,11,Krishna,12994,118668,7603,24967,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,95154,29351,25467,31327,181299,,,69040,4502,73542,,,,12,West Godavari,17958,163341,12666,81635,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90352,47433,28710,44651,211146,,,103380,10197,113577,,,,13,Mehaboobnagar,20217,190929,11549,76000,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150029,48098,734,73610,272471,,,62575,5080,67655,,,,14,Kadapa,25583,246888,44026,140287,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64576,22336,15913,30200,133025,,,81284,1934,83218,,,,15,Nalgonda,12658,120367,6679,34153,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60835,20303,26994,70492,178624,,,43804,2124,45928,,,,16,Warangal,17210,161414,7795,112453,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43753,5789,12695,8870,71107,,,33303,11954,45257,,,,17,Karimnagar,6761,64346,16234,18452,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44230,28943,26204,10774,110151,,,20871,4404,25275,,,,18,Nizamabad,9938,100213,9475,69867,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68026,5484,13207,5739,92456,,,14310,4287,18597,,,,19,Rangareddy,7972,84484,11421,58753,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42054,22125,27903,7372,99454,,,16184,838,17022,,,,20,Chittoor,9407,90047,6650,67213,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116570,17391,26082,33863,193906,,,100739,8159,108898,,,,21,Anantapur,18138,175768,14703,62290,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53946,42053,22462,43810,162271,,,52859,565,53424,,,,22,Medak,15071,147200,6003,88338,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1724900,628935,538409,696502,3588746,,,1317977,132978,1450955,,,,State total (ham),None,332021,3256725,281447,1696555,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17.25,6.29,5.38,6.97,35.89,,,13.18,1.33,14.51,,,,StateTotal (bcm),None,3.32,32.57,2.81,16.97,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,Discharge,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"During Non
Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8718,0,2283,0,11000,,,3,0,3,,,,1,Tirap,1100,9900,43,9855,0.02828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20988,18,6996,27,28029,,,26,,26,,,,2,Changlang,2803,25226,59,25142,0.10109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,143000,0,52360,0,195360,,,5,,5,,,,3,Lohit,19536,175824,101,175717,0.00301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,,,0,0,0,,,,4,Anjaw,0,0,0,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,,,0,0,0,,,,5,Dibang valley,0,0,0,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70488,0,30624,0,101112,,,34,,34,,,,6,Lower Dibang Valley,10111,91001,104,90864,0.03681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60078,8,14049,12,74147,,,84,44,128,,,,7,East Siang,7415,66732,45,66603,0.19196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4878,1,1220,1,6099,,,0,0,0,,,,8,West Siang,610,5489,18,5471,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,,,0,0,0,,,,9,Upper Siang,0,0,0,,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13338,0,3025,0,16363,,,15,,15,,,,10,East Kameng,1636,14726,71,14640,0.10186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1820,0,530,0,2351,,,0,0,0,,,,11,West Kameng,235,2116,19,2097,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1761,0,803,0,2564,,,5,,5,,,,12,Lower Subansiri,256,2307,91,2211,0.21669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,228,0,105,0,333,,,0,0,0,,,,13,Upper Subansiri,33,299,0,299,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10781,0,2587,0,13368,,,58,56,114,,,,14,Papum Pare,1337,12031,73,11900,0.94339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,,,0,0,0,,,,15,Tawang,0,0,0,,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,,,0,0,0,,,,16,Kurung Kumey,0,0,0,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,336077,27,114581,40,450724,,,229,100,329,,,,State total (ham),None,45072,405652,624,404798,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.36,0.0002675,1.15,0.0004,4.51,,,0.002,0.001,0.003,,,,StateTotal (bcm),None,0.45,4.06,0.01,4.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monsoon Season,None,Non Monsoon Season,None,Total,,,Irrigation,"Domestic &
Industrial
Water
Supply",Total,,,,None,None,Discharge,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Recharge
from Rainfall","Recharge
From Other
Sources","Recharge
from
Rainfall","Recharge
From Other
Sources",None,,,None,None,None,,,,None,None,"During Non
Monsoon
Period",None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,4,5,6,7,,,10,11,12,,,,1,2,8,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59201,20542,7068,4417,91228,,,36041,3410,39451,,,,1,Barpeta,9123,82105,4509,41555,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59709,4790,24706,1206,90411,,,13280,1494,14774,,,,2,Bongaigaon,9041,81370,1903,66187,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52071,9,35195,7,87282,,,11,3578,3589,,,,3,Cachar,8728,78554,4547,73996,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59693,7170,22503,1875,91241,,,19721,1817,21538,,,,4,Darrang,9124,82117,2357,60039,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,92018,5670,57274,1367,156329,,,14029,2737,16766,,,,5,Dibrugarh,15633,140696,3108,123559,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113890,1507,69337,390,185124,,,4142,1380,5522,,,,6,Dhemaji,18512,166612,1805,160665,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79158,17269,25660,4327,126414,,,47935,3940,51875,,,,7,Dhubri,12641,113773,5407,60431,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,94386,1885,43985,478,140734,,,5214,2135,7349,,,,8,Golaghat,14073,126661,2473,118974,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80767,5240,27798,1323,115128,,,14512,2057,16569,,,,9,Goalpara,11513,103615,2737,86366,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15423,3,10860,3,26289,,,0,1323,1323,,,,10,Hailakandi,2629,23660,1757,21903,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,95588,2325,49493,592,147998,,,6425,2259,8684,,,,11,Jorhat,14800,133198,2457,124316,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87173,8952,33386,2297,131808,,,24720,3060,27780,,,,12,Kamrup,13181,118627,3735,90172,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23477,2398,11595,359,37829,,,104,1959,2063,,,,13,Karbi Anglong,3783,34046,2477,31465,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,109550,3980,45329,726,159585,,,4008,1775,5783,,,,14,Kokrajhar,15959,143626,1888,137730,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28446,66,18727,30,47269,,,138,2453,2591,,,,15,Karimganj,4727,42542,3212,39192,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80114,1360,48773,350,130597,,,3749,2096,5845,,,,16,Lakhimpur,13060,117537,2611,111177,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47311,5260,19046,1320,72937,,,14593,1924,16517,,,,17,Morigaon,7294,65643,2621,48429,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,109601,33029,44122,5942,192694,,,33755,5751,39506,,,,18,Nagaon,19269,173425,7598,132072,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2602,1,1192,1,3796,,,0,451,451,,,,19,N.C. Hills,380,3416,510,2906,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20983,4449,11953,1122,38507,,,12327,1558,13885,,,,20,Nalbari,3851,34656,1795,20534,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,98417,2590,41461,657,143125,,,7163,2321,9484,,,,21,Sibsagar,14313,128812,2595,119054,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113469,10385,71710,1799,197363,,,6585,3880,10465,,,,22,Sonitpur,19736,177627,4741,166301,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100609,2788,63520,711,167628,,,7700,2725,10425,,,,23,Tinsukia,8381,159247,3190,148357,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41724,8256,23769,1060,74809,,,1396,1886,3282,,,,24,Baksa,7481,67328,2206,63726,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17171,674,6576,168,24589,,,1872,2999,4871,,,,25,Kamrup Metro,2459,22130,3246,17012,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38990,12264,20355,1670,73279,,,4117,1660,5777,,,,26,Udalguri,3664,69615,1889,63609,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
